equipo,categoria,serie
El Ciclon,Libre,A
Escalera FC,Libre,A
La Sociedad,Libre,A
Promesa,Libre,A
Saprissa,Libre,A
Vieja Escuela,Libre,A
Bazinga,Libre,A
Borregos,Libre,A
La Docta,Libre,A
Los Titos,Libre,A
Papsiss,Libre,A
Sangrion,Libre,A
Farsa,Libre,A
Código,Libre,A
Defensa,Libre,A
Kikines,Libre,A
Atl. Laboulaye,Libre,B
La Masía,Libre,B
All Dogs,Libre,B
Barrilete Cósmico,Libre,B
Calcio,Libre,B
El Fortin,Libre,B
El Pasaje,Libre,B
La Bocha,Libre,B
Recreativo,Libre,B
El Veni,Libre,B
Graduados,Libre,B
La Aldea,Libre,B
La Rabona,Libre,B
Refinería del Centro,Libre,B
Imperial FC,Libre,B
La Trampa,Libre,B
Chalchaleros,Libre,C
Dep. Cristal,Libre,C
La Castilla,Libre,C
La Colonia Libre,Libre,C
El Ajuste,Libre,C
San Lorenzo,Libre,C
Corralito,Libre,C
Børder,Libre,C
Dep. Cuota Fija,Libre,C
La Vuelta,Libre,C
Vodka Juniors,Libre,C
Yeri,Libre,C
Azzurri FC,Libre,C
Per Saltum FC,Libre,C
Bartolo Libre,Libre,C
Consejo,Libre,C
La Unión,Libre,D
Edinburg,Libre,D
OCB Premium,Libre,D
Detenidos,Libre,D
Fratelli,Libre,D
Los Magios,Libre,D
Que Broncon,Libre,D
Acme,Libre,D
Pope,Libre,D
Man Blue FC,Libre,D
Santos FC,Libre,D
Triángulo FC,Libre,D
Siglo 21,Libre,D
Capricho FC,Libre,D
Medio Pulmón FC,Libre,D
Tercer Tiempo FC,Libre,D
Catena FC,Libre,E
Alberdianos,Libre,E
Cordoba,Libre,E
Torino,Libre,E
Palito,Libre,E
Brancas,Libre,E
Cidecor,Libre,E
Laboral FC,Libre,E
Los Lopez,Libre,E
Poncho Negro Libre,Libre,E
Severino,Libre,E
Wasabi,Libre,E
Imperio FC,Libre,E
Fenix FC,Libre,E
Mala Junta,Libre,E
Marea,Libre,E
Chaya,Libre,F
La Sede,Libre,F
Los Isotopos,Libre,F
La Viejoneta FC,Libre,F
Delirio FC,Libre,F
Doña Tota FC,Libre,F
Faisán FC,Libre,F
Granate Mecánico,Libre,F
Celta,Libre,F
Pastilla Vieja,Libre,F
La Mezcla,Libre,F
Inter FC,Libre,F
Lisboa 464,Libre,F
Bataraza FC,Libre,F
Los Lagartos,Libre,F
Refugio FC,Libre,F
Africa United +30,+30,A
Bartolo +6,+30,A
Defensa y Justicia +30,+30,A
El Pasaje +30,+30,A
El Salmón,+30,A
Escalera FC +30,+30,A
La Docta +30,+30,A
Los Cuervos +30,+30,A
Talento +30,+30,A
El Eterno +30,+30,A
La Sociedad FC +30,+30,A
La Unión FC +30,+30,A
Promesa +30,+30,A
Clinicas FC,+30,A
La Pausa +30,+30,A
Vieja Escuela +30,+30,A
Graduados,+30,B
Alayama LF,+30,B
Borregos FC +30,+30,B
Chalchaleros FC +30,+30,B
Farsa FC +30,+30,B
Laboral +30,+30,B
Poeta FC,+30,B
Silly Team,+30,B
Bajo Fianza +30,+30,B
Centenario +30,+30,B
La Plaza,+30,B
Severino FC +30,+30,B
Tomba +30,+30,B
El Fortin +30,+30,B
Mala Junta +30,+30,B
Union y Amistad,+30,B
Barrilete +30,+30,C
Los Magios +30,+30,C
Alberdiano +30,+30,C
Impresentables +30,+30,C
Cordoba FC +30,+30,C
Detenidos FC +30,+30,C
Edinburg Legends,+30,C
El Ciclon +30,+30,C
Los Titos FC +30,+30,C
OCB X-Pert,+30,C
Per Saltum +30,+30,C
Brancas +30,+30,C
Faisan +30,+30,C
Marques FC,+30,C
Recreativo +30,+30,C
La 22,+30,C
La Colonia,+35,A
Los Titos FC,+35,A
Los Quedados,+35,A
El Pasaje +35,+35,A
El Ajuste FC +35,+35,A
Alberdiano +35,+35,A
Bartolo +35,+35,A
El Resto FC,+35,A
Escalera FC +35,+35,A
La Comunidad,+35,A
Menosiete FC,+35,A
OCB Legends,+35,A
Poncho Negro SC,+35,A
Zebra FC,+35,A
DCC +35,+35,A
Los Cuervos +35,+35,A
Bajo Palermo,+35,B
La Docta +35,+35,B
La Boqueria FC,+35,B
Toronja Mecánica,+35,B
Centenario +35,+35,B
Severino FC +35,+35,B
Cayejas,+35,B
El Eterno +35,+35,B
Nueva Alianza,+35,B
Nuncaonce FC,+35,B
Silly Team +35,+35,B
Tomba +35,+35,B
Zulmeños,+35,B
Defensa y Justicia +35,+35,B
Chalchaleros +35,+35,B
Saint Vincent FC,+35,B
Los Chicos del Fondo,+40,A
Zebra +40,+40,A
Escalera +40,+40,A
AC,+40,A
DCC +40,+40,A
Severino +40,+40,A
Naritelli S.C,+40,A
All Dogs +40,+40,A
Los Cuervos +40,+40,A
Bartolo +40,+40,A
La Cruda,+40,A
Estudiosos FC,+40,A
Poncho Negro SC +40,+40,A
CCFC,+40,A
C.A. Toro,+40,A
Caranchos FC,+40,A
Delirio FC,Femenino,A
El Eterno Fem,Femenino,A
El Campus,Femenino,A
La Rabona Fem,Femenino,A
Nidea FC,Femenino,A
Utopia,Femenino,A
Dep. Cristal Fem,Femenino,A
Conquista FC,Femenino,A
El Clero Fem,Femenino,A
Vieja Escuela Fem,Femenino,A
Setenta Treinta,Femenino,A
Tu Papa FC,Femenino,A
El Ajuste Fem,Femenino,A
Corran Yeguas,Femenino,A
K-Lambre,Femenino,B
Vikingas,Femenino,B
Impresentables Fem,Femenino,B
El Veni Fem,Femenino,B
El Pasaje Fem,Femenino,B
Enfoque FC,Femenino,B
Torino Fem,Femenino,B
Calcio Fem,Femenino,B
Arqui Fem,Femenino,B
Suricatas,Femenino,B
Un Equipo Fem,Femenino,B
Bartolas,Femenino,B
Farsa Fem,Femenino,B
Barbados Fem,Femenino,B
Edinburg Fem,Femenino,C
Chalchaleros Fem,Femenino,C
All Dogs Fem,Femenino,C
Lagertha FC,Femenino,C
La Citronella,Femenino,C
Atl. Laboulaye Fem,Femenino,C
Cordoba Fem,Femenino,C
Chantas Fem,Femenino,C
A que Costo FC,Femenino,C
Severino Fem,Femenino,C
Saprissa Fem,Femenino,C
4K,Femenino,C
Corona Fem,Femenino,C
Borregos Fem,Femenino,C
Maradoña FC,Femenino,D
Las Titas,Femenino,D
Detenidas FC,Femenino,D
Sonico FC,Femenino,D
Alayama Fem,Femenino,D
El Descarte FC,Femenino,D
Tercer Tiempo FC,Femenino,D
La Acade Fem,Femenino,D
Yeri Fem,Femenino,D
Euforia FC,Femenino,D
Criterio FC,Femenino,D
Las Cuervas,Femenino,D
Silly Team Fem,Femenino,D
C-Pico,Femenino,D
La Bocha Fem,Femenino,E
Chitas FC,Femenino,E
Vodka Juniors Fem,Femenino,E
Per Saltum Fem,Femenino,E
Corralito Fem,Femenino,E
Alberdiano Fem,Femenino,E
Gárgolas Fem,Femenino,E
Kikinas,Femenino,E
Rodeo FC,Femenino,E
OCB Fem,Femenino,E
Mambas FC,Femenino,E
Consejo Fem,Femenino,E
Suricatas FC,Femenino,E
Tori Fem,Femenino,E
Sin Equipo,Femenino,F
Granate Mecánico Fem,Femenino,F
La Coqueta FC,Femenino,F
Poeta Fem,Femenino,F
Azzurri Fem,Femenino,F
Daimon Fem,Femenino,F
Chaya Fem,Femenino,F
Siglo 21 Fem,Femenino,F
Nakama,Femenino,F
Brancas Fem,Femenino,F
El Campus Jr.,Femenino,F
Imperial Fem,Femenino,F
La Sede Fem,Femenino,F
La Trampa Fem,Femenino,F
Legión Fútbol,Femenino,G
Suricatas Jr.,Femenino,G
Severino Tricolor,Femenino,G
Tu Vieja FC,Femenino,G
Medio Pulmon Fem,Femenino,G
Celta Fem,Femenino,G
La Colonia Fem,Femenino,G
Valkiria FC,Femenino,G
Barcelo Fem,Femenino,G
Capricho Fem,Femenino,G
El Amarre FC,Femenino,G
Yupanqui Fem,Femenino,G
Bartolo Fem,Femenino,G
Los Magios Fem,Femenino,G
La Boquería Fem,Flex,A
Por la Linea FC,Flex,A
El Campus Flex,Flex,A
Nakama Flex,Flex,A
Escalera Fem,Flex,A
Gárgolas Flex,Flex,A
El Ajuste Flex,Flex,A
Utopia Flex,Flex,A
Inimputables Fem,Flex,A
Fenix Fem,Flex,A
Pastilla Vieja Fem,Flex,A
Centella FC,Flex,A
La Rabona Flex,Flex,A
Paravalancha FC,Flex,A
